,channel_id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,engage1,engage2,engage3,engage4,engage5,engage6,engage7,engage8,engage9,engage10,dur1,dur2,dur3,dur4,dur5,dur6,dur7,dur8,dur9,dur10,duration,no_of_videos,subsCount,title,thumbnail,viewCount,Clickbait_title,Clickbait_thumbnail
17,UCRxAgfYexGLlu1WHGIMUDqw,351914,685604,620748,1540495,810833,1331595,1857855,1821188,2628539,5453037,0.066484993,0.095721437,0.064100086,0.072237171,0.060106088,0.068565893,0.069906963,0.065904234,0.055289649,0.048630149,25.95,16.5,13.85,10.88333333,12.86666667,13.46666667,10.31666667,9.766666667,12.76666667,13.63333333,4.533333333,42,5320000,Homemade Cat Food (Fish Jelly Terrine),https://i.ytimg.com/vi/8ATmh9nSJKE/hqdefault.jpg,449047,1,1
18,UCbpMy0Fg74eXXkvxJrtEn3w,212460,997370,361216,554129,82008,469114,167233,156821,121755,1535706,0.023237315,0.016485356,0.017053508,0.019612762,0.031131109,0.021962679,0.024008419,0.026157211,0.017839103,0.019279732,8.033333333,21.83333333,24.15,20.8,7.216666667,15.18333333,14.83333333,9.45,13.41666667,15.6,11.4,1454,6280000,How the Hand-Ripped Noodles Are Made at Xi'an Famous Foods | From The Test Kitchen | Bon Appétit,https://i.ytimg.com/vi/6NZPhmKYJSw/hqdefault.jpg,167347,1,1
19,UCfyehHM_eo4g5JUyWmms2LA,375194,659477,685711,353867,397030,356751,738627,589241,705393,1257105,0.039022479,0.02959618,0.036411841,0.050682884,0.03807269,0.042463791,0.03030623,0.033341197,0.03877413,0.044505431,20.71666667,18.76666667,19.58333333,17.25,19.78333333,17.25,21.11666667,18.83333333,15.68333333,17.56666667,16.46666667,1853,2690000,Chef vs Normal: Food Rations Taste Test,https://i.ytimg.com/vi/BFSZvm0MiOc/hqdefault.jpg,294418,1,1
20,UCiP6wD_tYlYLYh3agzbByWQ,39061,38169,23340,46624,45779,10434,30602,37444,48077,55051,0.019866363,0.02195499,0.023093402,0.025201613,0.0204679,0.039007092,0.020554212,0.024276253,0.021340766,0.019817987,34.6,23.65,30.11666667,37.33333333,40.96666667,6.733333333,24.78333333,23.58333333,29.76666667,27.7,24.28333333,1091,6640000,Bored Easily HIIT: Athletic Drills and Speed,https://i.ytimg.com/vi/9OG1Evg_0PY/hqdefault.jpg,13360,1,1
21,UCIJwWYOfsCfz6PjxbONYXSg,4274855,7269495,6742250,3971522,6857578,13569942,296205,323801,305695,303430,0.085046627,0.080114506,0.080462605,0.125949195,0.093950955,0.10305512,0.023294678,0.023557679,0.023588871,0.02414725,1.016666667,1.016666667,1.016666667,1.016666667,1.016666667,1.016666667,36.33333333,32.38333333,33.93333333,33.05,1.016666667,1163,8390000,I played around with a brand new silhouette and fabric and let's just say... I'm obsessed 👗 #fashion,https://i.ytimg.com/vi/vqB7hVyP0ps/hqdefault.jpg,17725762,1,1
22,UCM1Nde-9eorUhq-teaWlgUA,12631,10025,6891,8306,5080,6429,4892,4447,4386,4788,0.01868419,0.027032419,0.026991728,0.02311582,0.02519685,0.025664956,0.031684383,0.024960648,0.025535796,0.027777778,12.45,13.93333333,10.35,15.16666667,11.85,15.15,12.5,14.43333333,10.18333333,14.2,13.11666667,694,3230000,FitBod Pre-Workout Stretch Routine| XHIT,https://i.ytimg.com/vi/J_B8AWpXHBo/hqdefault.jpg,17686,1,1
23,UCBINFWq52ShSgUFEoynfSwg,0,87239,80696,53731,82175,100357,35962,45667,36363,209991,inf,0.02854228,0.028824229,0.015968435,0.018752662,0.004882569,0.023747289,0.022576478,0.030195528,0.020515165,24.3,30.96666667,32.78333333,11.45,31.15,12.7,10.95,31.68333333,11.48333333,32.66666667,10.48333333,1675,6070000,10-Minute Bollywood Fusion Dance Workout | POPSUGAR FITNESS,https://i.ytimg.com/vi/Oi5MsLmzKaM/hqdefault.jpg,9921,1,1
24,UCEtMRF1ywKMc4sf3EXYyDzw,34610,68293,71560,92175,35226,38657,29184,439196,34146,76516,0.051256862,0.038656963,0.048365008,0.031874152,0.077698291,0.064955894,0.073362116,0.038024026,0.065307796,0.065058288,6.633333333,4.516666667,8.733333333,3.883333333,9.066666667,12.28333333,6.866666667,5.583333333,5,11.8,5.266666667,1848,2770000,How To: Sit-Up || 3 Golden Rules (BUILD ABS FAST!),https://i.ytimg.com/vi/0OWEtuS7-pE/hqdefault.jpg,32621,1,1
25,UCyqR7WkL8i1b6xtSssDmW9w,89647,129420,282095,408844,311477,444146,169736,208335,2308682,1837589,0.032449496,0.041631896,0.020503731,0.019775269,0.019927635,0.020083486,0.031148372,0.024609403,0.022533203,0.016898229,2.416666667,1.583333333,3.45,4.866666667,3.4,3.116666667,7.85,2.833333333,38.41666667,2.866666667,3.816666667,861,5050000,"RAYE, 070 Shake - Escapism | Caleb Marshall | Dance Workout",https://i.ytimg.com/vi/fDS6hY_jTZ8/hqdefault.jpg,80082,1,1
26,UCGMOauU8dOd4mv2bT3Tx57w,156153,58593,103601,112935,100816,108725,56234,70179,91972,127967,0.031750911,0.012100422,0.031322091,0.06505512,0.048206634,0.042529317,0.088185084,0.075763405,0.08821163,0.061211093,4.983333333,3,14.65,15.6,3.483333333,2.55,10.73333333,12.5,15.28333333,9.533333333,9.183333333,414,2360000,Are SOAKED Almonds Better Than RAW Almonds (MYTH or TRUTH) - Guru Mann,https://i.ytimg.com/vi/kNGCZZ709-o/hqdefault.jpg,94161,1,1
27,UCEQi1ZNJiw3YMRwni0OLsTQ,2006699,227514,333352,946638,261837,358692,484550,588517,446675,286846,0.000145513,0.049025554,0.046665387,0.000265149,0.052150766,0.049474201,0.048874213,0.049305288,0.08594168,0.047757333,1.016666667,20.55,26.93333333,1.016666667,22.43333333,20.61666667,13.91666667,13.83333333,12.5,20.51666667,7.9,443,2170000,OUR WEDDING | Whitney + Stefan,https://i.ytimg.com/vi/fq2CdnfijhQ/hqdefault.jpg,314405,1,1
28,UCEQi1ZNJiw3YMRwni0OLsTQ,2006699,227514,333353,946638,261837,358692,484550,588517,446675,286847,0.000145513,0.049025554,0.046665247,0.000265149,0.052150766,0.049474201,0.048874213,0.049305288,0.08594168,0.047757167,1.016666667,20.55,26.93333333,1.016666667,22.43333333,20.61666667,13.91666667,13.83333333,12.5,20.51666667,7.9,443,2170000,OUR WEDDING | Whitney + Stefan,https://i.ytimg.com/vi/fq2CdnfijhQ/hqdefault.jpg,314406,1,1
29,UC4GJndVHEhdmqLFBHOCi97A,209793,42841,27573,63707,147382,934033,287576,127235,78590,230044,0.02683121,0.029574473,0.06285134,0.045536597,0.029264089,0.018722037,0.02936615,0.024631587,0.033223056,0.031115787,26.76666667,25.11666667,5.266666667,8.1,51.66666667,27.51666667,31.66666667,12.46666667,24.01666667,16.88333333,2.933333333,296,3720000,New! Basic 1 Hour Workout | No Gym Fat Burning & Body Strengthening (Level 2-3),https://i.ytimg.com/vi/EOSWIY9XXp8/hqdefault.jpg,49030,1,1
30,UCiH4auDlkM0tgn9ewT3B1Vw,80356,418700,146404,246998,116702,270997,208933,208716,216143,185229,0.063106675,0.047731072,0.052218519,0.040316116,0.073854775,0.049262538,0.04804411,0.057091934,0.054477823,0.0612863,6.516666667,24.18333333,6.233333333,18.98333333,11,16.83333333,14.11666667,19.15,21.18333333,14.5,19.76666667,251,1920000,LANZAMIENTO DE MI COLÁGENO CON CYNATINE HNS | ACIDO HIALURONICO | BIOTINA | VITAMINA E Y C !,https://i.ytimg.com/vi/MKKf7nd5hPo/hqdefault.jpg,247517,0,1
31,UCFKE7WVJfvaHW5q283SxchA,847762,952480,540348,527142,548251,502031,522912,558556,554610,570852,0.024700329,0.017860742,0.035510449,0.024790284,0.025180073,0.025769325,0.026937611,0.026507638,0.027623014,0.025836819,22.66666667,27.83333333,24.01666667,24.53333333,21.16666667,22.21666667,23.81666667,24.31666667,21.98333333,17.8,17.16666667,690,12000000,Quick Restorative Yin | Gentle Yoga Practice,https://i.ytimg.com/vi/nylNjxeOeSw/hqdefault.jpg,419750,1,1
32,UCGb34D3ThpmjLNn-FLv2_yQ,17361,44130,5409,4082,5824,35888,3977,30580,31924,37689,0.023270549,0.017743032,0.05527824,0.05022048,0.057864011,0.01490749,0.047271813,0.015271419,0.016664578,0.018068933,15.78333333,15.11666667,17.26666667,16.81666667,17.61666667,31.23333333,14.43333333,13.41666667,12.58333333,17.9,13.85,3558,4070000,TOTAL Body YOGA Workout! Quick Full Body Yoga for Burning Calories & Shredding Fat w/ Brooke,https://i.ytimg.com/vi/V9QLYBaQczc/hqdefault.jpg,4821,1,1
33,UCWN2FPlvg9r-LnUyepH9IaQ,88804,166621,73913,70842,140664,27094,67590,134590,257475,167144,0.034593036,0.037960401,0.037165316,0.044620423,0.033448501,0.032221156,0.042728214,0.036109666,0.028542577,0.032217728,48.5,26.73333333,3.05,28.7,16.65,57.96666667,25.8,18.96666667,34.03333333,21.71666667,18.91666667,526,2710000,Best 15 Min Morning Yoga | Full Body Yoga To Align Your Body & Mind For A Perfect Day To Come,https://i.ytimg.com/vi/popjTqZenwA/hqdefault.jpg,40020,1,1
34,UCH-81uaxCwAAaSgxRtxMkxg,554994,11004,17807,16977,45840,22572,21182,51494,8508,8242,0.003540579,0.049436569,0.043241422,0.040643223,0.017910122,0.038631933,0.038995373,0.026993436,0.037141514,0.043678719,11.78333333,12.43333333,1.6,7.183333333,56.93333333,55.43333333,56.01666667,56,24.61666667,23.21666667,25.85,1897,804000,Yoga Challenge - Day 1 Strong Core for L-Sit and More - Seven Days of Strength,https://i.ytimg.com/vi/ojont4kXuJM/hqdefault.jpg,10714,0,1
35,UCcox27Gc-NGbb2-X9hdLaMw,6231,8260,7385,3085,2285,7293,2852,3078,2695,4097,0.050714171,0.074818402,0.055788761,0.054132901,0.070897155,0.073358015,0.078892006,0.077647823,0.080890538,0.068098609,45.01666667,23.48333333,22.71666667,36.71666667,39,29.4,39.9,48.98333333,44.7,43.36666667,23,761,685000,20 Minute Full Body Yoga Workout (Tribute to Lesley),https://i.ytimg.com/vi/IrJ34_ooUPw/hqdefault.jpg,14553,1,1
36,UC-0CzRZeML8zw4pFTVDq65Q,4073,6453,21623,27559,145899,11020,11136,93141,101646,7713,0.045666585,0.043080738,0.046154558,0.044377517,0.025908334,0.026950998,0.043552443,0.042430294,0.029386301,0.039413976,2.133333333,30.31666667,9.133333333,21.08333333,10.46666667,1.016666667,25.86666667,21.05,20.06666667,24.31666667,10.85,471,1640000,"10 min Yoga Stretch for Stress, Hardship & Trauma",https://i.ytimg.com/vi/dWpVQ070o_o/hqdefault.jpg,25773,1,1
37,UCa5OCJkZgtbIkaB1sA86XVA,2363,1576,1942,1570,1264,2090,2397,1098,1894,811,0.02962336,0.031091371,0.052523172,0.05477707,0.09414557,0.049760766,0.057571965,0.071948998,0.040126716,0.028360049,2.716666667,1.3,1.35,1.283333333,1.016666667,14.8,4.616666667,2.983333333,6.516666667,3.083333333,9.5,734,324000,How to Practice Softness,https://i.ytimg.com/vi/QfTSY446GWg/hqdefault.jpg,1835,1,1
38,UCFYsO0t3zj0eJ_NcOlowTSA,2327,6346,1480,892,5432,4064,9383,9213,2518,2632,0.033089815,0.040182792,0.032432432,0.024663677,0.171023564,0.207185039,0.116060961,0.040811896,0.025019857,0.042173252,19.4,29.8,3.483333333,19.06666667,11.98333333,9.45,10.48333333,23.55,7.766666667,2.35,16.48333333,841,354000,Build resilience in body and mind with Esther Ekhart,https://i.ytimg.com/vi/U-553PWAD0g/hqdefault.jpg,2142,0,1
